Term,English text,Translation,Source
commands.SAS.addFileResource,New File...,Nowy Plik...,nls
commands.SAS.addFolderResource,New Folder...,Nowy Katalog...,nls
commands.SAS.addProfile,Add New Connection Profile,Dodaj Nowy Profil Połączenia,nls
commands.SAS.addToFavorites,Add to My Favorites,Dodaj do Ulubionych,nls
commands.SAS.authorize,Sign in,Zaloguj się,nls
commands.SAS.close,Close Current Session,Zamknij Bieżącą Sesję,nls
commands.SAS.collapseAll,Collapse All,Zwiń Wszystko,nls
commands.SAS.convertNotebookToFlow,Convert to Flow...,Przekształć w Przepływ...,nls
commands.SAS.deleteProfile,Delete Connection Profile,Usuń Profil Połączenia,nls
commands.SAS.deleteResource,Delete,Usuń,nls
commands.SAS.deleteTable,Delete,Usuń,nls
commands.SAS.download,Download,Pobierz,nls
commands.SAS.emptyRecycleBin,Empty Recycle Bin,Opróżnij Kosz,nls
commands.SAS.file.new,New SAS File,Nowy Plik SASowy,nls
commands.SAS.file.new.short,SAS File,Plik SASowy,nls
commands.SAS.notebook.export,Export,Eksportuj,nls
commands.SAS.notebook.new,New SAS Notebook,Nowy Notatnik SASowy,nls
commands.SAS.notebook.new.short,SAS Notebook,Notatnik SASowy,nls
commands.SAS.refresh,Refresh,Odśwież,nls
commands.SAS.removeFromFavorites,Remove from My Favorites,Usuń z Ulubionych,nls
commands.SAS.renameResource,Rename...,Zmień Nazwę...,nls
commands.SAS.restoreResource,Restore,Przywróć,nls
commands.SAS.run,Run All SAS Code,Uruchom Wszystkie Kody SASowe,nls
commands.SAS.runRegion,Run Region,Uruchom Obszar,nls
commands.SAS.runSelected,Run Selected or All SAS Code,Uruchom Wybrane albo Wszystkie Kody SASowe,nls
commands.SAS.switchProfile,Switch Current Connection Profile,Przełącz Bieżący Profil Połączenia,nls
commands.SAS.updateProfile,Update Connection Profile,Zaktualizuj Profil Połączenia,nls
commands.SAS.upload,Upload,Załaduj,nls
commands.SAS.uploadFiles,Upload Files,Załaduj Pliki,nls
commands.SAS.uploadFolders,Upload Folders,Załaduj Katalogi,nls
configuration.SAS.connectionProfiles,"Define the connection profiles to connect to SAS servers. If you define more than one profile, you can switch between them.","W celu połączenia z Serwerem SAS zdefiniuj Profil Połączenia. Jeśli zdefiniujesz wiele Profilów Połączenia, możesz przełączać się między nimi.",nls
configuration.SAS.connectionProfiles.activeProfile,Active SAS Connection Profile,Aktywuj Profil Połączenia SAS,nls
configuration.SAS.connectionProfiles.profiles,SAS Connection Profiles,Profile Połączeń SAS,nls
configuration.SAS.connectionProfiles.profiles.autoExec,SAS Connection AutoExec,AutoExec Połączenia SAS,nls
configuration.SAS.connectionProfiles.profiles.autoExec.filePath,SAS Connection AutoExec File path,Ścieżka do pliku AutoExec dla Połączenia SAS,nls
